100000000,1,static,0.327368
100000000,2,static,0.164674
100000000,4,static,0.18198
100000000,8,static,0.084913
100000000,16,static,0.0491388
100000000,1,dynamic1,0.327482
100000000,2,dynamic1,0.164917
100000000,4,dynamic1,0.0913579
100000000,8,dynamic1,0.0854058
100000000,16,dynamic1,0.049181
100000000,1,dynamic1000,0.327398
100000000,2,dynamic1000,0.164545
100000000,4,dynamic1000,0.182164
100000000,8,dynamic1000,0.085413
100000000,16,dynamic1000,0.0491819
100000000,1,dynamic100000,0.327422
100000000,2,dynamic100000,0.164709
100000000,4,dynamic100000,0.0912108
100000000,8,dynamic100000,0.0852199
100000000,16,dynamic100000,0.0492671
